transaction_id,user_id,amount,currency,country,ip_address,device,recipient_id,recipient_country,recipient_is_resident,sender_is_resident,account_age_days,timestamp,merchant,payment_method,user_age,user_registration_country,card_type,transaction_type,is_fraud
TX664037,U2903,1466.05,USD,KZ,10.0.49.139,Windows,U5547,RU,False,True,33,2026-06-08T08:51:20.901841,AliExpress,GooglePay,42,KZ,Mastercard,POS,0
TX855695,U3631,811.63,USD,UK,10.0.8.204,MacBook,U4994,UZ,False,False,20,2026-06-08T16:23:45.124499,Booking,Card,60,UK,Mastercard,P2P,0
TX210630,U6464,72003.76,USD,U4245,KZ,True,False,90,DE,10.0.49.212,iPhone,2026-06-08T11:25:07.502272,Steam,ApplePay,36,DE,Visa,P2P,0
TX997994,U3932,200.84,USD,KZ,10.0.1.21,Android,U4384,UK,False,True,269,2026-06-08T18:24:21.491784,Amazon,ApplePay,51,KZ,Visa,Online,0
TX785018,U9092,430.94,USD,RU,10.0.15.221,iPhone,U1618,UZ,False,False,86,2026-06-08T08:57:59.549036,Amazon,ApplePay,51,RU,Mastercard,POS,0
TX840388,U8839,239.79,USD,KZ,10.0.17.9,iPhone,U4281,KZ,True,True,200,2026-06-08T19:16:30.931675,Netflix,Card,46,KZ,Mastercard,P2P,0
TX552261,U7071,712.24,USD,DE,10.0.31.251,Windows,U2495,KG,False,False,324,2026-06-08T10:16:34.496324,Spotify,ApplePay,38,DE,Mastercard,Online,0
TX750650,U5317,789.08,USD,DE,10.0.8.202,Windows,U9830,KG,False,False,327,2026-06-08T08:01:59.417375,Booking,Card,65,DE,Visa,Online,0
TX980699,U8753,91.1,USD,RU,10.0.3.82,Windows,U3397,KG,False,False,26,2026-06-08T18:25:39.431733,Amazon,Card,35,RU,Visa,Online,0
TX142778,U5792,38.44,USD,KZ,10.0.9.228,Android,U4182,UZ,False,True,284,2026-06-08T18:59:07.651490,Steam,Card,58,KZ,Visa,Online,0
TX900648,U2914,70.66,USD,KZ,10.0.36.236,iPhone,U1690,DE,False,True,101,2026-06-08T21:36:08.064939,AliExpress,Card,20,KZ,Mastercard,POS,0
TX733564,U5253,2119.21,USD,KZ,10.0.19.93,Windows,U7970,RU,False,True,76,2026-06-08T15:51:18.781218,Netflix,GooglePay,18,KZ,Mastercard,Online,0
